"address","_c1","rank"
"010XX N MONTICELLO AVE","1127","329"
"069XX S HALSTED ST","1126","330"
"094XX S ASHLAND AVE","1126","330"
"061XX S EBERHART AVE","1125","332"
"0000X E OHIO ST","1125","332"
"012XX S INDEPENDENCE BLVD","1124","334"
"049XX W HUBBARD ST","1123","335"
"034XX N CLARK ST","1121","336"
"010XX N RUSH ST","1120","337"
"052XX W ADAMS ST","1120","337"
"051XX N DAMEN AVE","1119","339"
"076XX S CONSTANCE AVE","1118","340"
"052XX W LAKE ST","1116","341"
"032XX N CLARK ST","1116","341"
"060XX S INDIANA AVE","1114","343"
"081XX S COTTAGE GROVE AVE","1113","344"
"0000X E RANDOLPH ST","1113","344"
"002XX E PERSHING RD","1112","346"
"059XX S ASHLAND AVE","1110","347"
"068XX S ASHLAND AVE","1110","347"
"038XX W NORTH AVE","1108","349"
"025XX W JACKSON BLVD","1107","350"
"009XX N HAMLIN AVE","1103","351"
"071XX S STATE ST","1100","352"
"027XX W LEXINGTON ST","1099","353"
"048XX S DREXEL BLVD","1098","354"
"009XX W ADDISON ST","1098","354"
"016XX W 59TH ST","1097","356"
"052XX W NORTH AVE","1096","357"
"034XX W WILSON AVE","1095","358"
"050XX N SHERIDAN RD","1093","359"
"067XX S EAST END AVE","1092","360"
"089XX S COMMERCIAL AVE","1092","360"
"002XX N LA SALLE ST","1091","362"
"036XX W LEXINGTON ST","1087","363"
"013XX N PULASKI RD","1087","363"
"002XX E GARFIELD BLVD","1087","363"
"071XX S VINCENNES AVE","1084","366"
"0000X E WASHINGTON ST","1084","366"
"013XX E 47TH ST","1083","368"
"028XX W MADISON ST","1081","369"
"0000X N LATROBE AVE","1077","370"
"004XX E PERSHING RD","1076","371"
"0000X N MICHIGAN AVE","1071","372"
"013XX N MILWAUKEE AVE","1070","373"
"005XX S STATE ST","1067","374"
"002XX N STATE ST","1067","374"
"049XX W IOWA ST","1067","374"
"0000X W CHICAGO AVE","1066","377"
"079XX S LAFAYETTE AVE","1065","378"
"071XX S EAST END AVE","1065","378"
"0000X E 75TH ST","1065","378"
"052XX W CHICAGO AVE","1065","378"
"078XX S MARSHFIELD AVE","1065","378"
"0000X W RANDOLPH ST","1064","383"
"003XX W ERIE ST","1064","383"
"013XX S INDEPENDENCE BLVD","1064","383"
"035XX W ROOSEVELT RD","1063","386"
"082XX S MARYLAND AVE","1063","386"
"079XX S INGLESIDE AVE","1063","386"
"020XX N ORCHARD ST","1063","386"
"001XX N LAPORTE AVE","1060","390"
"009XX N PULASKI RD","1057","391"
"056XX W CHICAGO AVE","1056","392"
"070XX S CLYDE AVE","1055","393"
"003XX E 51ST ST","1054","394"
"042XX W WILCOX ST","1052","395"
"0000X E MADISON ST","1051","396"
"003XX E GARFIELD BLVD","1051","396"
"001XX N LARAMIE AVE","1049","398"
"008XX E 63RD ST","1049","398"
"045XX N CLARENDON AVE","1046","400"
"040XX S FEDERAL ST","1045","401"
"039XX W DIVISION ST","1045","401"
"002XX W 95TH ST","1044","403"
"002XX N CENTRAL AVE","1043","404"
"035XX S COTTAGE GROVE AVE","1042","405"
"080XX S ELLIS AVE","1042","405"
"004XX N LARAMIE AVE","1041","407"
"042XX W AUGUSTA BLVD","1040","408"
"079XX S DREXEL AVE","1040","408"
"082XX S DREXEL AVE","1040","408"
"010XX N LAWNDALE AVE","1039","411"
"014XX W 79TH ST","1037","412"
"047XX S DR MARTIN LUTHER KING JR DR","1036","413"
"005XX E 36TH ST","1035","414"
"0000X E ADAMS ST","1035","414"
"048XX W JACKSON BLVD","1033","416"
"065XX W DIVERSEY AVE","1033","416"
"046XX S HALSTED ST","1033","416"
"019XX W MADISON ST","1032","419"
"011XX S FRANCISCO AVE","1031","420"
"032XX W DOUGLAS BLVD","1031","420"
"035XX W ARMITAGE AVE","1029","422"
"009XX W WILSON AVE","1029","422"
"057XX S MICHIGAN AVE","1027","424"
"079XX S ESSEX AVE","1027","424"
"036XX W DIVISION ST","1026","426"
"039XX W JACKSON BLVD","1026","426"
"081XX S VINCENNES AVE","1025","428"
"061XX N BROADWAY","1024","429"
"064XX W IRVING PARK RD","1024","429"
"011XX N MILWAUKEE AVE","1022","431"
"0000X W ELM ST","1021","432"
"020XX S MICHIGAN AVE","1020","433"
"076XX S STEWART AVE","1020","433"
"015XX W GARFIELD BLVD","1020","433"
"059XX S MORGAN ST","1019","436"
"015XX S KEDZIE AVE","1018","437"
"013XX W MORSE AVE","1018","437"
"063XX S WESTERN AVE","1017","439"
"014XX W 13TH ST","1016","440"
"015XX N DAMEN AVE","1015","441"
"010XX W WILSON AVE","1015","441"
"082XX S INGLESIDE AVE","1014","443"
"019XX W NORTH AVE","1014","443"
"003XX E PERSHING RD","1014","443"
"079XX S MARQUETTE AVE","1014","443"
"070XX S COTTAGE GROVE AVE","1013","447"
"009XX E 79TH ST","1013","447"
"059XX N GLENWOOD AVE","1013","447"
"028XX N LEAVITT ST","1012","450"
"002XX S WACKER DR","1009","451"
"006XX N HOMAN AVE","1008","452"
"058XX N LINCOLN AVE","1008","452"
"006XX N STATE ST","1006","454"
"016XX W JONQUIL TER","1005","455"
"045XX W MADISON ST","1005","455"
"050XX W DIVISION ST","1003","457"
"004XX S PULASKI RD","1003","457"
"061XX S ASHLAND AVE","1002","459"
"094XX S STATE ST","999","460"
"061XX S RACINE AVE","998","461"
"0000X E GARFIELD BLVD","997","462"
"076XX S SOUTH SHORE DR","997","462"
"082XX S HALSTED ST","997","462"
"002XX S WABASH AVE","994","465"
"104XX S STATE ST","992","466"
"063XX S KEDZIE AVE","991","467"
"014XX N MILWAUKEE AVE","990","468"
"049XX S DREXEL BLVD","989","469"
"039XX S LAKE PARK AVE","988","470"
"007XX N CHRISTIANA AVE","988","470"
"112XX S MICHIGAN AVE","988","470"
"054XX N EAST RIVER RD","988","470"
"014XX W MORSE AVE","988","470"
"019XX W CERMAK RD","986","475"
"007XX N RIDGEWAY AVE","984","476"
"007XX N SACRAMENTO BLVD","983","477"
"011XX S CLARK ST","983","477"
"0000X W WACKER DR","981","479"
"024XX N LINCOLN AVE","980","480"
"008XX S WELLS ST","980","480"
"008XX N KEDZIE AVE","980","480"
"043XX W WILCOX ST","979","483"
"048XX W CHICAGO AVE","979","483"
"083XX S STEWART AVE","979","483"
"087XX S COMMERCIAL AVE","978","486"
"068XX S RIDGELAND AVE","977","487"
"025XX N MILWAUKEE AVE","976","488"
"0000X N HALSTED ST","975","489"
"119XX S MICHIGAN AVE","974","490"
"011XX N DEARBORN ST","973","491"
"013XX E 79TH ST","973","491"
"063XX S STONY ISLAND AVE","972","493"
"057XX N SHERIDAN RD","970","494"
"002XX W 103RD ST","969","495"
"040XX W VAN BUREN ST","969","495"
"065XX W BRYN MAWR AVE","967","497"
"020XX W 79TH ST","967","497"
"047XX S MICHIGAN AVE","966","499"
"066XX S STONY ISLAND AVE","966","499"
"013XX W 15TH ST","965","501"
"081XX S ASHLAND AVE","964","502"
"054XX S LAFLIN ST","964","502"
"050XX W JACKSON BLVD","964","502"
"011XX N RIDGEWAY AVE","963","505"
"040XX W 26TH ST","963","505"
"007XX N TRUMBULL AVE","963","505"
"028XX N BROADWAY","962","508"
"013XX N ASHLAND AVE","962","508"
"0000X N LOREL AVE","961","510"
"012XX N PULASKI RD","961","510"
"027XX N MILWAUKEE AVE","960","512"
"037XX W DIVISION ST","960","512"
"045XX W WASHINGTON BLVD","959","514"
"032XX N CICERO AVE","958","515"
"005XX N CENTRAL AVE","956","516"
"011XX N LAWLER AVE","956","516"
