"unsafearea.address","unsafearea.total_crimes","unsafearea.rank","crime.latitude","crime.longitude"
"075XX S EXCHANGE AVE","466","2463","41.759012808","-87.560215615"
"001XX N STATE ST","9528","2","41.883500187","-87.627876698"
"001XX N STATE ST","9528","2","41.883500187","-87.627876698"
"083XX S STEWART AVE","979","483","41.742710224","-87.634088181"
"045XX W NORTH AVE","891","606","41.90971226","-87.73926766"
"084XX S DAMEN AVE","90","17134","41.740146119","-87.672893212"
"132XX S COMMERCIAL AVE","59","21635","41.654629129","-87.550780218"
"0000X N STATE ST","6684","5","41.882394062","-87.627844798"
"048XX S KEATING AVE","134","12672","41.804818046","-87.741858809"
"011XX N WESTERN AVE","1560","138","41.901422196","-87.686985067"
"101XX S YATES AVE","186","9216","41.711052213","-87.56455191"
"023XX S HALSTED ST","57","22002","41.849636372","-87.646475829"
"067XX S CLAREMONT AVE","451","2621","41.771431667","-87.682111024"
"023XX S LAWNDALE AVE","264","6119","41.849099884","-87.71736275"
"031XX W FARGO AVE","32","28111","42.01643344","-87.707548058"
"008XX N MICHIGAN AVE","6859","4","41.897895128","-87.624096605"
"081XX S DANTE AVE","162","10614","41.746825754","-87.589369847"
"012XX N MENARD AVE","189","9071","41.902858242","-87.770536741"
"051XX W CONCORD PL","275","5832","41.910440254","-87.753919512"
"014XX N KARLOV AVE","174","9887","41.907786605","-87.728903688"
"066XX N OLIPHANT AVE","99","16017","42.001005529","-87.817945417"
"030XX S KILDARE AVE","176","9746","",""
"080XX S ALBANY AVE","94","16638","41.747150614","-87.699880133"
"046XX W WRIGHTWOOD AVE","149","11512","41.928244504","-87.742546439"
"060XX S FAIRFIELD AVE","328","4514","41.783607769","-87.692298253"
"092XX S COMMERCIAL AVE","712","997","41.727872617","-87.551207132"
"049XX W NORTH AVE","1441","165","41.909567137","-87.750576916"
"039XX W GLADYS AVE","820","720","41.876198401","-87.723858849"
"052XX W MADISON ST","1954","71","41.880362084","-87.755847438"
"061XX S KENWOOD AVE","605","1407","41.783522021","-87.593125671"
"035XX W FLOURNOY ST","541","1808","41.872682238","-87.71396773"
"030XX W CORTLAND ST","146","11731","41.915602463","-87.703427017"
"011XX N MASSASOIT AVE","253","6474","41.900909023","-87.769253513"
"107XX S LOWE AVE","102","15717","41.698855265","-87.638942924"
"0000X N KEDZIE AVE","461","2526","41.882137696","-87.706157436"
"091XX S ADA ST","238","6981","41.728045897","-87.656762577"
"018XX W ARGYLE ST","17","35161","",""
"015XX S SPAULDING AVE","628","1297","41.860432136","-87.707937086"
"018XX S INDIANA AVE","160","10754","41.857582212","-87.622325051"
"027XX N SOUTHPORT AVE","103","15606","41.931194044","-87.663943561"
"003XX S CICERO AVE","1614","120","41.875548946","-87.745088227"
"060XX S WASHTENAW AVE","358","3956","41.783944029","-87.691084926"
"0000X N LARAMIE AVE","558","1672","41.881917163","-87.755121029"
"032XX N MONTICELLO AVE","199","8584","41.940026243","-87.718649656"
